name,address,city,state,stars,phone,wifiScore,outdoorSeating,liveMusic,outlets,veganMilk,food,popularItem,IMG,website
Any Given Sundae,2612 Brandt School Rd,Wexford,PA,5,(790) 1974222,3.92,1,0,0,1,0,Peppermint Mocha,http://dummyimage.com/189x151.jpg/5fa2dd/ffffff,https://a8.net/tincidunt/eu/felis/fusce.js
DAVIDsTEA,10 Dundas Street E,Toronto,ON,4,(191) 1328148,3.74,1,0,1,1,0,Peppermint Mocha,http://dummyimage.com/240x211.jpg/dddddd/000000,http://blinklist.com/quisque/arcu/libero/rutrum/ac.aspx
Bampot House of Tea & Board Games,201 Harbord Street,Toronto,ON,4,(696) 2117091,3.37,1,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/241x244.jpg/cc0000/ffffff,https://mit.edu/ultrices/posuere/cubilia.aspx
Koko Bakery,3710 Payne Ave,Cleveland,OH,4,(413) 4526234,2.01,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/202x235.png/dddddd/000000,https://mapy.cz/justo.html
Hestia,"733 Rue Cathcart, Suite 6",Montreal,QC,4.5,(123) 8059729,1.49,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/183x113.png/dddddd/000000,http://tuttocitta.it/aenean.js
Teavana,"3200 Las Vegas Blvd S, Ste 1795",Las Vegas,NV,3.5,(156) 2822839,2.66,1,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/137x191.png/cc0000/ffffff,http://wufoo.com/purus.jsp
Dunkin Donuts,16131 Lancaster Hwy,Charlotte,NC,2.5,(434) 5998271,1.28,1,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/224x144.bmp/dddddd/000000,https://theatlantic.com/nonummy/integer/non/velit/donec/diam/neque.png
Coffee Culture,10037 Keele Street,Vaughan,ON,3.5,(563) 7433033,2.75,1,0,0,0,1,Peppermint Mocha,http://dummyimage.com/159x187.jpg/cc0000/ffffff,https://mac.com/in/faucibus.png
Bubble Tea and Me,"7330 Yonge Street, Suite 107",Thornhill,ON,3.5,(294) 7589382,4.92,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/133x208.bmp/5fa2dd/ffffff,http://bloomberg.com/lacus/purus/aliquet/at/feugiat/non/pretium.jsp
Urban Boba Tea House,"2470 W Happy Valley Rd, Ste 1183",Phoenix,AZ,4,(688) 9243689,1.02,1,0,1,1,1,Peppermint Mocha,http://dummyimage.com/125x152.jpg/cc0000/ffffff,http://soundcloud.com/sapien/placerat.json
Donut Counter,3337 Avenue Bayview,North York,ON,4,(279) 9639378,2.52,1,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/153x198.jpg/ff4444/ffffff,http://timesonline.co.uk/fusce/congue/diam/id.json
Hula Girl Espresso,456 Ossington Avenue,Toronto,ON,4,(722) 3820076,2.65,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/163x128.png/dddddd/000000,http://myspace.com/turpis/donec/posuere/metus.xml
Frozen Creamery,"744 W Ray Rd, Ste 103",Gilbert,AZ,4,(186) 6849662,4.18,0,0,1,1,0,Chai Tea Latte,http://dummyimage.com/172x144.jpg/ff4444/ffffff,http://freewebs.com/nullam/porttitor/lacus/at/turpis.png
Dunkin Donuts,"3027 Graham Rd, Ste 4",Stow,OH,1,(735) 3095137,1.77,0,1,1,1,1,Peppermint Mocha,http://dummyimage.com/107x238.bmp/dddddd/000000,http://moonfruit.com/enim/leo/rhoncus/sed/vestibulum.html
Second Cup,895 Rue De La Gauchetiere E,Montreal,QC,3,(462) 4081869,4.48,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/122x156.jpg/5fa2dd/ffffff,http://addtoany.com/at/nibh/in.xml
Le Fouvrac,"1404, rue Fleury Est",Montreal,QC,5,(966) 9689552,2.02,1,1,1,1,1,Nitro Cold Brew,http://dummyimage.com/167x166.png/5fa2dd/ffffff,http://bloglines.com/mauris/vulputate/elementum.json
Cafe Merlin,Augustenstr. 72,Stuttgart,BW,4,(477) 7087719,2.23,1,1,0,1,0,Chai Tea Latte,http://dummyimage.com/240x159.bmp/ff4444/ffffff,http://utexas.edu/eu/interdum/eu/tincidunt.html
Coffee Bean Cafe,15400 Hurontario Street,Inglewood,ON,3.5,(446) 7887287,4.11,0,1,1,0,0,Chai Tea Latte,http://dummyimage.com/218x107.jpg/dddddd/000000,http://sogou.com/lacus/purus/aliquet.jsp
Ora Mangiamo,"780 Kingston Road, Unit 8",Pickering,ON,5,(925) 4889566,2.17,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/212x107.bmp/dddddd/000000,http://cdc.gov/duis/consequat/dui/nec/nisi/volutpat/eleifend.xml
Goed Eten,188 Ossington Avenue,Toronto,ON,3,(783) 8746289,4.35,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/249x244.jpg/dddddd/000000,http://github.io/posuere/cubilia/curae/nulla/dapibus/dolor.xml
Icha Tea,"235 Spadina Avenue, Unit 4",Toronto,ON,4.5,(432) 5010768,1.2,1,1,1,1,0,Chai Tea Latte,http://dummyimage.com/111x149.bmp/dddddd/000000,https://scientificamerican.com/amet/sem/fusce.png
Starbucks,735 S Green Valley Pkwy,Henderson,NV,3.5,(392) 7074456,1.51,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/227x225.jpg/5fa2dd/ffffff,http://tuttocitta.it/odio/odio/elementum/eu/interdum/eu.png
Starbucks,6365 S Rainbow Blvd,Las Vegas,NV,3.5,(446) 3078227,3.38,0,0,0,1,1,Vanilla Cappuccino,http://dummyimage.com/179x142.jpg/cc0000/ffffff,http://amazon.co.jp/est/lacinia/nisi/venenatis/tristique/fusce/congue.png
Waterbean Coffee,"9705 Sam Furr Rd, Ste A",Huntersville,NC,4.5,(807) 9082997,4.35,1,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/150x177.bmp/5fa2dd/ffffff,http://cbsnews.com/id.png
Krispy Kreme Doughnuts,7015 W Spring Mountain Rd,Las Vegas,NV,3,(675) 4160607,4.62,0,1,0,1,1,Peppermint Mocha,http://dummyimage.com/155x127.png/5fa2dd/ffffff,http://woothemes.com/hac/habitasse.jsp
Le Neuf Cafe,9 Clarence Square,Toronto,ON,3.5,(832) 3722886,2.56,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/161x178.png/cc0000/ffffff,http://rakuten.co.jp/metus/aenean/fermentum/donec/ut.aspx
Starbucks,"2001 E Lake Mead Blvd, Ste 105",North Las Vegas,NV,3.5,(742) 2275563,2.44,1,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/176x239.bmp/5fa2dd/ffffff,http://mediafire.com/hac/habitasse/platea/dictumst.xml
Starbucks,7077 Bathurst Street,Thornhill,ON,3.5,(513) 3587732,1.2,0,1,0,1,0,Chai Tea Latte,http://dummyimage.com/217x217.png/cc0000/ffffff,https://epa.gov/odio/elementum/eu/interdum/eu/tincidunt.html
Tim Hortons,799 Dundas Street E,Mississauga,ON,3,(630) 1990930,2.67,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/155x196.bmp/ff4444/ffffff,https://alibaba.com/hac/habitasse/platea/dictumst/morbi/vestibulum/velit.html
T By Daniel,46 Main Street N,Brampton,ON,5,(910) 2675192,2.48,1,1,1,0,0,Nitro Cold Brew,http://dummyimage.com/219x250.bmp/cc0000/ffffff,http://jigsy.com/luctus/tincidunt/nulla/mollis/molestie/lorem/quisque.aspx
Sonic,60 Cecil Street,Toronto,ON,4,(363) 2157924,4.82,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/240x151.jpg/cc0000/ffffff,http://xing.com/eget/congue/eget/semper/rutrum/nulla/nunc.jpg
Duo Patisserie & Cafe,"230 Commerce Valley Drive E, Unit 4",Markham,ON,4.5,(782) 6828873,4.4,0,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/246x132.png/dddddd/000000,http://yahoo.co.jp/quam/sapien/varius/ut/blandit/non.jpg
Teavana,1800 sheppard Avenue,Toronto,ON,2,(192) 8554412,2.14,1,1,0,1,1,Nitro Cold Brew,http://dummyimage.com/200x128.png/5fa2dd/ffffff,http://mozilla.com/tortor.json
Waffles Cafe,"6446 N Durango Dr, Ste 150",Las Vegas,NV,4,(245) 7963825,1.23,1,0,1,0,0,Chai Tea Latte,http://dummyimage.com/154x147.png/ff4444/ffffff,https://chicagotribune.com/vel/lectus/in/quam/fringilla/rhoncus/mauris.html
